paper_i,paper_j,score
0107242,0105248,0.13723707579139963
0107242,0103064,0.10740610797736182
0107242,0007073,0.17268778579241473
0107242,0106146,0.11072308178206246
0107242,9804084,0.01147722763204099
0107242,9905111,0.045656426454288572
0107242,0201091,0.18136708199802157
0107242,0112008,0.27801764817548924
0107242,0205006,0.31130079162036506
0107242,0011102,0.060812449626112326
0107242,9207019,0.11653819973143259
0107242,9802150,0.1236192945131815
0107242,9506159,0.09119577336823996
0107242,0207201,0.077389322809798378
0107242,9606130,0.18329285256124342
0107242,9811228,0.033603963671799415
0107242,9607168,0.019535946032734005
0107242,9710248,0.069640476377403532
0107242,9906188,0.14376967638081825
0107242,0111260,0.22287554153652261
0107242,9207032,0.0069779000672021523
0107242,9807091,0.21709547867013454
9310101,9201021,0.035302443426316596
9310101,9204026,0.019934870835937521
9310101,9206020,0.046037540119991588
9310101,9301021,0.042301993173356089
9310101,9203042,0.073236601189925282
9310101,9205089,0.02796242912451264
9310101,9305040,0.117511395791124
9310101,9303103,0.051586666668175248
9310101,9207105,0.034758720726501491
9310101,9205114,0.17855538527084561
9310101,9207006,0.051556709653726877
9310101,9205028,0.06141514100448188
9310101,9206077,0.062040748732678473
9310101,9401102,0.07430782815140588
9310101,9401159,0.022316855452650469
9310101,9204002,0.030061739052475448
9310101,9203052,0.053412734860669948
9310101,9209055,0.025386571510710439
9310101,9207103,0.024192642967839396
9310101,9308139,0.058403675271689139
9310101,9210107,0.061917376810854539
9310101,9207095,0.034775626260673112
9310101,9308100,0.06991891602568738
9310101,9203054,0.22805236552773345
0107084,9907088,0.10633802809260517
0107084,9907107,0.078751322214287184
0107084,0004102,0.20320785159179588
0107084,9808100,0.062269162266925103
0107084,9904017,0.037669064277681789
0107084,9807150,0.080609358953268595
0107084,0109065,0.15027844997889481
0107084,9812067,0.082315375760065687
0107084,9803171,0.043788630654402513
0107084,9412147,0.017148998705679298
0107084,0103112,0.13504347710895837
0107084,0005135,0.063784402744406665
0107084,9905226,0.06471383036023344
0107084,0105218,0.15546781375480215
0107084,0103230,0.23557570191993632
0107086,0005014,0.053319533585714507
