paper_i,paper_j,score
0107242,9811228,0.0958904109589
0107242,9606130,0.260273972603
0107242,0103064,0.311643835616
0107242,0011102,0.311643835616
0107242,9201080,0.215753424658
0107242,0106146,0.0958904109589
0107242,0112008,0.143835616438
0107242,9710248,0.47602739726
0107242,9802150,0.215753424658
0107242,9807091,0.691780821918
0107242,9207019,0.0958904109589
0107242,0007073,0.0958904109589
0107242,0105248,0.260273972603
9809034,9904063,0.463768115942
9809034,9812161,0.463768115942
9809034,0002140,0.115942028986
9809034,9807199,0.289855072464
9809034,9906223,0.289855072464
9809034,9604139,0.884057971014
9809034,9802150,0.289855072464
9809034,9911066,0.173913043478
9809034,9603116,0.260869565217
0201128,0110064,0
0201128,9806087,0
0201128,0110234,0
0201128,9910040,0
0201128,9803131,0
0201128,9711200,0
0201128,0201004,0
0201128,0107134,0
0201128,9802150,0
0009196,0006062,0.5
0009196,0011125,0.5
0009196,0010204,1.0
0009196,0008042,1.0
0009196,0007050,0.5
0009196,0004183,1.0
0009196,0006112,0.5
0009199,9806044,0.230769230769
0009199,0006215,1.0
0009199,0008128,0.153846153846
0009199,0011111,0.153846153846
0009199,0003269,0.153846153846
0009199,0008190,0.230769230769
0009199,0008054,0.692307692308
0009199,9906194,0.230769230769
0009199,9803141,0.307692307692
0009199,0004124,0.230769230769
0010256,0012170,0
0010256,0011094,0
0010256,0007023,0
0010256,9909176,0
0010256,0101016,0
0010256,0011125,0
0010256,0103124,0
0010256,0012218,0
0010256,0011131,0
0010256,0007078,0
0010256,0101177,0
0010256,9802068,0
0010256,0008144,0
0112152,0203268,0.677419354839
0112152,0103111,0.0
0112152,0203208,0.677419354839
0112152,0203083,0.677419354839
0112152,0103078,0.225806451613
0112152,9808069,0.0967741935484
0112152,0106247,0.322580645161
0112152,0106020,0.0
0112152,0201004,0.677419354839
0112152,9902183,0.0967741935484
0112152,0109122,0.225806451613
0112152,0103171,0.322580645161
0112152,9804083,0.0
0112152,0105117,0.903225806452
0112152,0104159,0.225806451613
0112152,0204083,0.338709677419
0112152,0102042,0.322580645161
0112152,0201128,0.677419354839
0112152,0110143,0.225806451613
0112152,0201210,0.0
0112152,0111201,0.0
0112152,0112223,0.677419354839
0112152,0110265,0.661290322581
0112152,0204066,0.677419354839
0112152,0202140,0.677419354839
0112152,9807137,0.0
0112152,9903214,0.225806451613
0112152,9802150,0.322580645161
0112152,0007146,0.0967741935484
0112152,0112140,0.0967741935484
0112152,9905046,0.0
0112152,0107031,0.0967741935484
0112152,0203235,0.677419354839
0112152,0108119,0.338709677419
0112152,0106184,1.0
0112152,0011182,0.0
0112152,0202008,0.677419354839
0112152,0001041,0.0
0112152,9904010,0.0
0112152,9904017,0.0
0112152,0112002,0.0
0112152,0001122,0.0
0112152,0201176,0.338709677419
0112152,0112218,0.338709677419
0112152,0009015,0.0
0112152,0201174,0.677419354839
0112152,9806087,0.0
0112152,0003147,0.0
0112152,0202198,0.338709677419
0112152,0007062,0.0
0112152,9807127,0.0967741935484
0112152,0106209,0.0967741935484
0112152,0202193,0.677419354839
0112152,0111217,0.322580645161
9901152,9808183,0
9901152,9801120,0
9901152,9711200,0
9901152,9803209,0
9901152,9802150,0
9901152,9610125,0
9901152,9802042,0
0111179,9905115,0
0111179,0006049,0
0111179,9704059,0
0111179,9712028,0
0111179,9511030,0
0111179,9903051,0
0111179,0012156,0
0111179,9907086,0
0011077,9707068,1.0
0011077,0105159,0.5
0011077,0011023,0.5
0011077,9902074,0.5
0011077,0006066,0.5
0011077,0011166,0.5
0011077,9808149,0.5
0011077,0004063,0.5
0011077,9912271,0.5
0011077,0009211,0.5
0011077,9811035,0.5
0011077,9802088,0.5
0011077,9904017,0.5
0011077,9906194,0.5
0011077,0012193,1.0
0011077,0101013,0.5
0011077,0003033,0.5
0011077,9906242,1.0
9506076,9209125,0
9506076,9504047,0
9506076,9502057,0
9506076,9207053,0
9506076,9508094,0
9506076,9209016,0
9506076,9504006,0
9506075,9406198,0
9506075,9410167,0
9506075,9208029,0
9506075,9506110,0
9506075,9204035,0
9612051,9603126,0
9612051,9606136,0
9612051,9205027,0
9612051,9504147,0
9612051,9603061,0
9612051,9508058,0
9612051,9605234,0
9612051,9202014,0
9612051,9609053,0
9612051,9601152,0
9612051,9604055,0
9612051,9512078,0
9612051,9411187,0
9612051,9604089,0
9612051,9609084,0
9702086,9412184,0
9702086,9604168,0
9702083,9701123,0.5
9702083,9205110,0.5
9702083,9510182,0.5
0007234,0001122,0
0007234,9806217,0
9902197,9811035,0
9902197,9711097,0
9902197,9812089,0
9902197,9611050,0
9902197,9803001,0
9902197,9612080,0
0112080,9912001,0
0112080,0107134,0
0112080,0002091,0
0102156,9203069,0.237288135593
0102156,0003184,0.593220338983
0102156,9808169,0.796610169492
0102156,9912230,0.237288135593
0102156,0011102,0.35593220339
0102156,9710248,0.559322033898
0102156,9803092,0.64406779661
0102156,0105248,0.203389830508
0102156,0003262,0.237288135593
0102156,9606130,0.203389830508
0102156,9711155,0.237288135593
0102156,9605046,0.237288135593
0102156,9802150,0.35593220339
0102156,9807034,1.0
0102156,0107160,0.237288135593
0102156,9708160,0.237288135593
0102156,0106259,0.237288135593
0102156,0103064,0.35593220339
0102156,9201080,0.35593220339
0102156,9911163,1.0
0102156,9812016,0.593220338983
0102156,9904056,0.64406779661
0102156,0105046,0.796610169492
0007131,0103069,0
0007131,0002158,0
0007131,0103139,0
0007131,0006219,0
0007131,0008075,0
0108158,0002186,1.0
0108158,0008132,0.666666666667
0108158,0006209,0.333333333333
0108158,0006219,0.333333333333
0108158,0011088,0.666666666667
0108158,0104217,0.666666666667
0303015,0010091,0
0303015,0007170,0
0303015,0207234,0
0303015,0206115,0
0303015,0208103,0
0303015,0008250,0
0108150,9911116,0.0
0108150,0010190,0.0
0108150,0107007,0.285714285714
0108150,0003160,0.285714285714
0108150,0201060,0.714285714286
0108150,0101162,0.285714285714
0108150,0106027,0.714285714286
0108150,9904207,0.0
0108150,0005204,0.0
0108150,9711200,0.0
0108150,0111208,1.0
0108150,9802150,0.0
0108150,0112214,0.714285714286
0108150,0008053,0.0
0108150,0008033,0.0
0108150,0111129,1.0
0108150,9805019,0.285714285714
0108150,0105168,0.285714285714
0108150,0105184,1.0
0108150,0101014,0.0
0108150,0112231,0.285714285714
0108150,9207011,0.0
0108150,0109182,1.0
0108150,0111069,0.714285714286
0108150,0110136,1.0
0108150,9305166,0.0
0108150,0007153,0.0
0003059,9911172,0
0003059,9907177,0
9710020,9611197,0.606299212598
9710020,9708015,0.393700787402
9710020,9707027,0.220472440945
9710020,9512059,0.0
9710020,9612131,0.220472440945
9710020,9612052,0.606299212598
9710020,9708082,0.393700787402
9710020,9704170,0.0
9710020,9703110,0.0
9710020,9611230,0.220472440945
9710020,9706087,0.220472440945
9710020,9301042,0.0
9710020,9510225,0.606299212598
9710020,9605150,0.173228346457
9710020,9612121,0.0
9710020,9608024,0.0
9710020,9706050,0.826771653543
9710020,9706131,0.826771653543
9710020,9705130,0.606299212598
9710020,9707244,0.173228346457
9710020,9707247,0.393700787402
9710020,9706155,0.826771653543
9710020,9611050,0.173228346457
9710020,9202011,0.0
9710020,9502072,0.606299212598
9710020,9705199,1.0
9710020,9701015,0.0
0003051,9806100,0
0003051,9908163,0
0003051,9908160,0
0003051,9901144,0
0003051,0005135,0
0003051,9901149,0
0003051,9911222,0
0003051,9803131,0
0003051,9803171,0
0003051,9910016,0
0003051,9802150,0
0003051,9906188,0
0003051,0004195,0
0003051,9712117,0
0003051,9905134,0
0003051,9803077,0
0008002,0004115,0
0008002,9903107,0
0008002,0005129,0
0008002,0002186,0
0008002,0004085,0
0008002,0005073,0
0008002,9901080,0
0008002,0002158,0
0008002,0003216,0
0008002,9911041,0
0008002,0004147,0
0008002,0004072,0
0008002,9912167,0
0008002,9912140,0
9901080,9709220,0
9901080,9712201,0
9901080,9705117,0
9901080,9810116,0
9901080,9611042,0
9901080,9902051,0
0003052,0001206,0
0003052,9909134,0
0003052,0007120,0
0003052,9909058,0
0204001,0202111,0.36525544027
0204001,9905111,0.448011941522
0204001,0205089,0.0507075644271
0204001,9604091,0.0579515022024
0204001,0110039,0.0772686696033
0204001,0001144,0.0579515022024
0204001,0204147,0.023180600881
0204001,9610148,0.0869272533037
0204001,0112188,0.0869272533037
0204001,9404063,0.0772686696033
0204001,0105276,0.0869272533037
0204001,0204146,0.124595729735
0204001,9710005,0.0869272533037
0204001,0111135,0.103024892804
