paper_i,paper_j,score
9806044,9806080,0.091549636569918311
9806044,9806091,0.18472299917333607
9806044,9611050,0.017625957366871108
9806044,9804026,0.10899818374168127
9806044,9603133,0.013991177513158612
9806044,9602052,0.016756690188015594
9806044,9803214,0.15342337797129768
0107242,9811228,0.033603963671799415
0107242,9606130,0.18329285256124342
0107242,0103064,0.10740610797736182
0107242,0011102,0.060812449626112326
0107242,9201080,0.022943244415597284
0107242,0106146,0.11072308178206246
0107242,0112008,0.27801764817548924
0107242,9710248,0.069640476377403532
0107242,9802150,0.1236192945131815
0107242,9807091,0.21709547867013454
0107242,9207019,0.11653819973143259
0107242,0007073,0.17268778579241473
0107242,0105248,0.13723707579139963
9808049,9602010,0.0094275690125433104
9605012,9602097,0.037859885946045918
9605012,9405024,0.064270244482799332
9605012,9504129,0.17090855998362853
9605012,9507051,0.21519345502714313
9605012,9601037,0.20627765383887525
9610062,9303038,0.0097416559572507909
9610062,9602162,0.058546192122717756
9610062,9402031,0.044709878859584586
9610062,9509123,0.059308153862339522
9610062,9210015,0.040144363776546239
0002111,9902101,0.074070215915005067
0002111,9905037,0.039707189965238622
0002111,9803001,0.045512478279043152
0002111,9809021,0.043466716522980176
0002111,9808016,0.13663370058001312
9807189,9807146,0.29512494611198165
9807189,9506169,0.21643857562976784
9807189,9703158,0.12501656661906274
9807189,9209024,0.15833689296514575
9807189,9904002,0.44462865515918792
9610148,9512181,0.066540277766554218
0208227,9906055,0.036598747359728706
0208227,0110107,0.10995301361633489
0208227,0104206,0.032970717457299015
0208227,0110200,0.068182178776644869
9807067,9508064,0.058656525452181862
9807067,9508155,0.096907949518276831
9807067,9703198,0.18467860388677712
9807067,9606087,0.20091052838976775
9807067,9612085,0.082605009747972344
9807067,9510234,0.088658181991452339
9807067,9604034,0.055539746551587305
9807067,9602097,0.082673838629413049
9807067,9410167,0.10879826156238498
9807067,9504027,0.03703044683534705
9807067,9708062,0.14389161798139324
9807067,9610237,0.098086172450982029
9807067,9504006,0.073022065080770512
0205144,0104259,0.33253985838103334
0205144,9812209,0.037045205254309474
0205144,0103067,0.077890838580742403
0205144,0103011,0.031949808032951582
0205144,9910054,0.034019977041864775
0205144,9704151,0.038196574838029199
0205144,9802168,0.038874765690243104
0205144,0007243,0.040769088514046446
0205144,9301042,0.034392124652130374
0112080,9912001,0.045001062589821214
